	f	k	p	r
0	0.6916506231348776	5	0.8049635804987206	0.6654391250976454
1	0.7184817624140489	15	0.7646988865006721	0.7123832905553695
2	0.7327811913835192	25	0.7720674234489535	0.7317263698247963
3	0.7363261687235249	35	0.7772623213105062	0.7365993378715173
4	0.7388953989051356	45	0.7828926128221861	0.7395565971059778
5	0.741276755628972	55	0.7883989303303213	0.7420674775880668
6	0.742682509047728	65	0.7934899526554753	0.7434438120745452
7	0.743555446008748	75	0.7973009165326636	0.7441505784324666
8	0.743427176631628	85	0.799534763633621	0.7440017855150095
9	0.7448280457879096	95	0.803213656543496	0.7453967191161701
10	0.7459378108338184	105	0.8066276619343656	0.746308075735595
11	0.7455522241677186	115	0.8078638034916887	0.7458430978685414
12	0.7461216013846551	125	0.8100138462612939	0.7462708775062307
13	0.7457918471408035	135	0.8111887113030561	0.7458616969832236
14	0.7459528759939755	145	0.8124088537857113	0.7459174943272701
15	0.7457118769342237	155	0.8132715045543945	0.7454711155748986
16	0.7453421456684464	165	0.8140331412193202	0.7449875385931629
17	0.745685867743567	175	0.8148385988415293	0.7452665253133951
18	0.7455934642900459	185	0.8154679158703187	0.7450619350518916
19	0.7459109749678217	195	0.8165396237384746	0.7453409217721236
20	0.7457205821993869	205	0.8169390336879817	0.7451177323959379
